feature,importance
sp500_return,0.12221321500830289
volume_change,0.08927229384976514
gap,0.07148487168943478
return_1d,0.0708407220914218
sma_20,0.06842951928570659
price_to_sma20,0.06500908380939582
sma_5,0.06327442791442527
return_5d,0.05711926847253602
oil_price,0.05192803619546266
price_to_sma5,0.051792992227897273
volatility_5d,0.05124226935503491
sentiment_5d_avg,0.044416325152976076
volume_ratio,0.04207617850578549
volatility_20d,0.038777625224361185
sentiment_3d_avg,0.025200275612867105
industrial_output,0.015503459360667294
Sentiment_gpt,0.015457850783804466
cpi,0.015193141842469685
fed_rate,0.01336220233121798
Scaled_sentiment,0.01085742082576184
unemployment_rate,0.010381625227730007
