feature,importance
price_to_sma20,0.0969442988309347
sp500_return,0.07551660531430149
return_5d,0.068796441522533
sma_20,0.06812281677549642
volume_ratio,0.06529678523232113
gap,0.06416251532522278
return_1d,0.05835579342866969
oil_price,0.05717078182228821
price_to_sma5,0.05117687118507144
volatility_20d,0.050184023785919865
sentiment_5d_avg,0.048246898180905794
volume_change,0.04813609362710332
sma_5,0.045919257352258096
volatility_5d,0.04329933489436387
sentiment_3d_avg,0.039995355023885
cpi,0.03284467886207594
Sentiment_gpt,0.01990225519489446
Scaled_sentiment,0.01750383726466706
industrial_output,0.017270707062920613
