feature,importance
sp500_return,0.1594980391966315
price_to_sma5,0.1296772924071737
price_to_sma20,0.09044954120879105
return_1d,0.08318325752775366
return_5d,0.07871233617476406
volatility_5d,0.0601480805858878
volatility_20d,0.05464642238846796
gap,0.05128833406079582
volume_change,0.04727363631417855
oil_price,0.03630285455637295
volume_ratio,0.033737933522313926
sma_5,0.02497628510529922
sentiment_5d_avg,0.02062828042399331
sma_20,0.020547335848009246
industrial_output,0.01957023361466139
sentiment_3d_avg,0.01728296571254464
unemployment_rate,0.014274769868537516
Sentiment_gpt,0.013638390367186943
fed_rate,0.013368778455234865
Scaled_sentiment,0.011920846064241021
cpi,0.011496206634971574
