feature,importance
sp500_return,0.09378099872223902
price_to_sma20,0.08904021903525458
volume_ratio,0.08194705970637103
price_to_sma5,0.07867030921143997
volume_change,0.07788612679689415
oil_price,0.07129463646596886
return_1d,0.06493405284027554
volatility_20d,0.060786217420538545
return_5d,0.056896329804674996
gap,0.0436566013143007
volatility_5d,0.038150274439485925
sma_5,0.034916262188079666
sentiment_5d_avg,0.03220240450794147
industrial_output,0.027105932441377923
sma_20,0.02645952350061254
cpi,0.0262023538059661
sentiment_3d_avg,0.02525448817344681
unemployment_rate,0.023864006006063344
fed_rate,0.01292590147579939
Scaled_sentiment,0.010555680728331471
