feature,importance
sma_5,0.27971585894476975
cpi,0.241635415443006
return_1d,0.057082385979258805
oil_price,0.05309377268851893
price_to_sma20,0.04620695837775208
price_to_sma5,0.045298772237295254
return_5d,0.04116871222959931
sp500_return,0.035706739303733366
gap,0.029305497029172994
sma_20,0.029158457481631626
volume_change,0.02730837301040077
volatility_20d,0.021631192152046754
volume_ratio,0.017397819712033635
sentiment_3d_avg,0.013115207746919839
volatility_5d,0.012213620084520817
sentiment_5d_avg,0.011278104077642234
