feature,importance
sp500_return,0.1225563249895874
price_to_sma5,0.09407905326988324
price_to_sma20,0.07131094163789409
oil_price,0.06768141702701862
gap,0.06451474046076344
volume_change,0.06377777056038977
return_1d,0.05858526224870519
volatility_5d,0.05446599059541793
volume_ratio,0.05278282903655073
volatility_20d,0.050061437291941804
return_5d,0.047999066147824544
sma_5,0.04217714375734008
sentiment_5d_avg,0.03124097583893071
industrial_output,0.03010857679253952
sma_20,0.030075335552128678
sentiment_3d_avg,0.028900170450808463
cpi,0.020685183378548088
unemployment_rate,0.018082140838749195
fed_rate,0.012856277321304043
