feature,importance
volume_change,0.1370367655298416
price_to_sma20,0.10661488872070654
sp500_return,0.09157227294161731
return_5d,0.0764266727150877
sma_5,0.06650812459135719
return_1d,0.05919243587833007
volatility_5d,0.05183017122909726
price_to_sma5,0.04902676917789307
volume_ratio,0.045136329307355644
oil_price,0.04480836810722016
gap,0.04235930516541053
sma_20,0.03921025542576605
volatility_20d,0.03755985084389087
sentiment_3d_avg,0.03749945655832841
sentiment_5d_avg,0.02344325502476914
cpi,0.021270595530733977
Scaled_sentiment,0.013207686490092314
industrial_output,0.013010437881881916
Sentiment_gpt,0.009120822099657866
unemployment_rate,0.00910438606107816
fed_rate,0.00889472327627022
fed_rate_change,0.008220235582755052
unemployment_change,0.006242282021616412
News_flag,0.002703909839242448
