feature,importance
price_to_sma20,0.1370277591106039
return_1d,0.13508591321713437
return_5d,0.09814312673442908
sp500_return,0.08995701694836497
price_to_sma5,0.08082580352367957
gap,0.06113473939280382
volatility_5d,0.048206111128028854
volatility_20d,0.04805306735370876
sma_5,0.044672211699172834
volume_change,0.03530280139159855
oil_price,0.03361851374431552
sentiment_5d_avg,0.030488703619995318
volume_ratio,0.02804896026952967
cpi,0.02564734355320864
sentiment_3d_avg,0.022117992028693793
sma_20,0.019091463092731662
industrial_output,0.018073881517733655
Sentiment_gpt,0.010935021623983448
