feature,importance
volatility_5d,0.1793332053118156
price_to_sma20,0.1559725525291133
return_5d,0.11677933629383991
return_1d,0.06756800866247396
sp500_return,0.0672163980112254
sma_20,0.05895221508626855
volatility_20d,0.05594144089293984
price_to_sma5,0.04516970104599034
gap,0.036632685424206245
sma_5,0.02965526690623393
oil_price,0.026254838147978913
volume_change,0.02407254334420954
volume_ratio,0.02301869673312476
sentiment_5d_avg,0.02066435268918804
Sentiment_gpt,0.01961752138049346
sentiment_3d_avg,0.01913299245181649
cpi,0.012123511777909051
