Date,cpi,fed_rate,unemployment_rate,industrial_output,oil_price,close,sp500_return
2010-01-06,217.488,0.11,9.8,89.1897,83.12,1137.1400146484375,0.0005455206301101523
2010-01-07,217.488,0.11,9.8,89.1897,82.6,1141.68994140625,0.00400120187417663
2010-01-08,217.488,0.11,9.8,89.1897,82.74,1144.97998046875,0.0028817272914287706
2010-01-09,217.488,0.11,9.8,89.1897,82.74,1144.97998046875,0.0028817272914287706
2010-01-10,217.488,0.11,9.8,89.1897,82.74,1144.97998046875,0.0028817272914287706
2010-01-11,217.488,0.11,9.8,89.1897,82.54,1146.97998046875,0.0017467554316374923
2010-01-12,217.488,0.11,9.8,89.1897,80.79,1136.219970703125,-0.009381166148364262
2010-01-13,217.488,0.11,9.8,89.1897,79.66,1145.6800537109375,0.008325925658531075
2010-01-14,217.488,0.11,9.8,89.1897,79.35,1148.4599609375,0.0024264254383745687
2010-01-15,217.488,0.11,9.8,89.1897,77.96,1136.030029296875,-0.010823130159869354
2010-01-16,217.488,0.11,9.8,89.1897,77.96,1136.030029296875,-0.010823130159869354
2010-01-17,217.488,0.11,9.8,89.1897,77.96,1136.030029296875,-0.010823130159869354
2010-01-18,217.488,0.11,9.8,89.1897,77.96,1136.030029296875,-0.010823130159869354
2010-01-19,217.488,0.11,9.8,89.1897,78.98,1150.22998046875,0.012499626599363545
2010-01-20,217.488,0.11,9.8,89.1897,77.42,1138.0400390625,-0.010597829662970737
2010-01-21,217.488,0.11,9.8,89.1897,75.84,1116.47998046875,-0.01894490338978838
2010-01-22,217.488,0.11,9.8,89.1897,74.25,1091.760009765625,-0.022140988764300484
2010-01-23,217.488,0.11,9.8,89.1897,74.25,1091.760009765625,-0.022140988764300484
2010-01-24,217.488,0.11,9.8,89.1897,74.25,1091.760009765625,-0.022140988764300484
2010-01-25,217.488,0.11,9.8,89.1897,74.9,1096.780029296875,0.004598098012701168
2010-01-26,217.488,0.11,9.8,89.1897,74.67,1092.1700439453125,-0.004203199573680982
2010-01-27,217.488,0.11,9.8,89.1897,73.64,1097.5,0.004880152210944955
2010-01-28,217.488,0.11,9.8,89.1897,73.62,1084.530029296875,-0.011817740959567224
2010-01-29,217.488,0.11,9.8,89.1897,72.85,1073.8699951171875,-0.009829173828039273
2010-01-30,217.488,0.11,9.8,89.1897,72.85,1073.8699951171875,-0.009829173828039273
2010-01-31,217.488,0.11,9.8,89.1897,72.85,1073.8699951171875,-0.009829173828039273
2010-02-01,217.281,0.13,9.8,89.5046,74.41,1089.18994140625,0.014266108894671836
2010-02-02,217.281,0.13,9.8,89.5046,77.21,1103.3199462890625,0.01297294837718499
2010-02-03,217.281,0.13,9.8,89.5046,76.96,1097.280029296875,-0.00547431142933863
2010-02-04,217.281,0.13,9.8,89.5046,73.13,1063.1099853515625,-0.031140677888039425
2010-02-05,217.281,0.13,9.8,89.5046,71.15,1066.18994140625,0.002897118921960873
2010-02-06,217.281,0.13,9.8,89.5046,71.15,1066.18994140625,0.002897118921960873
2010-02-07,217.281,0.13,9.8,89.5046,71.15,1066.18994140625,0.002897118921960873
2010-02-08,217.281,0.13,9.8,89.5046,71.87,1056.739990234375,-0.00886329049344714
2010-02-09,217.281,0.13,9.8,89.5046,73.71,1070.52001953125,0.013040132316577413
2010-02-10,217.281,0.13,9.8,89.5046,74.48,1068.1300048828125,-0.0022325735201887964
2010-02-11,217.281,0.13,9.8,89.5046,75.23,1078.469970703125,0.009680437561949251
2010-02-12,217.281,0.13,9.8,89.5046,74.11,1075.510009765625,-0.002744592819371894
2010-02-13,217.281,0.13,9.8,89.5046,74.11,1075.510009765625,-0.002744592819371894
2010-02-14,217.281,0.13,9.8,89.5046,74.11,1075.510009765625,-0.002744592819371894
2010-02-15,217.281,0.13,9.8,89.5046,74.11,1075.510009765625,-0.002744592819371894
2010-02-16,217.281,0.13,9.8,89.5046,76.98,1094.8699951171875,0.01800074864554846
2010-02-17,217.281,0.13,9.8,89.5046,77.27,1099.510009765625,0.0042379594555796984
2010-02-18,217.281,0.13,9.8,89.5046,78.97,1106.75,0.006584742448973557
2010-02-19,217.281,0.13,9.8,89.5046,79.77,1109.1700439453125,0.002186622042297248
2010-02-20,217.281,0.13,9.8,89.5046,79.77,1109.1700439453125,0.002186622042297248
2010-02-21,217.281,0.13,9.8,89.5046,79.77,1109.1700439453125,0.002186622042297248
2010-02-22,217.281,0.13,9.8,89.5046,80.04,1108.010009765625,-0.0010458578339902491
2010-02-23,217.281,0.13,9.8,89.5046,78.61,1094.5999755859375,-0.012102809596931441
2010-02-24,217.281,0.13,9.8,89.5046,79.75,1105.239990234375,0.00972045942422195
2010-02-25,217.281,0.13,9.8,89.5046,77.99,1102.93994140625,-0.002081040179913507
2010-02-26,217.281,0.13,9.8,89.5046,79.72,1104.489990234375,0.0014053791778985136
2010-02-27,217.281,0.13,9.8,89.5046,79.72,1104.489990234375,0.0014053791778985136
2010-02-28,217.281,0.13,9.8,89.5046,79.72,1104.489990234375,0.0014053791778985136
2010-03-01,217.353,0.16,9.9,90.1356,78.71,1115.7099609375,0.01015850827289455
2010-03-02,217.353,0.16,9.9,90.1356,79.62,1118.31005859375,0.0023304422719907514
2010-03-03,217.353,0.16,9.9,90.1356,80.91,1118.7900390625,0.00042920160206150193
2010-03-04,217.353,0.16,9.9,90.1356,80.21,1122.969970703125,0.0037361180334851696
2010-03-05,217.353,0.16,9.9,90.1356,81.5,1138.699951171875,0.014007480947064943
2010-03-06,217.353,0.16,9.9,90.1356,81.5,1138.699951171875,0.014007480947064943
2010-03-07,217.353,0.16,9.9,90.1356,81.5,1138.699951171875,0.014007480947064943
2010-03-08,217.353,0.16,9.9,90.1356,81.85,1138.5,-0.00017559601339156572
2010-03-09,217.353,0.16,9.9,90.1356,81.5,1140.449951171875,0.0017127370855292146
2010-03-10,217.353,0.16,9.9,90.1356,82.07,1145.6099853515625,0.00452455995494172
2010-03-11,217.353,0.16,9.9,90.1356,82.1,1150.239990234375,0.004041519314613495
2010-03-12,217.353,0.16,9.9,90.1356,81.26,1149.989990234375,-0.00021734594703937127
2010-03-13,217.353,0.16,9.9,90.1356,81.26,1149.989990234375,-0.00021734594703937127
2010-03-14,217.353,0.16,9.9,90.1356,81.26,1149.989990234375,-0.00021734594703937127
2010-03-15,217.353,0.16,9.9,90.1356,79.79,1150.510009765625,0.000452194832708086
2010-03-16,217.353,0.16,9.9,90.1356,81.75,1159.4599609375,0.0077791163013856135
2010-03-17,217.353,0.16,9.9,90.1356,82.93,1166.2099609375,0.005821675803744153
2010-03-18,217.353,0.16,9.9,90.1356,82.16,1165.8299560546875,-0.0003258460273372066
2010-03-19,217.353,0.16,9.9,90.1356,80.58,1159.9000244140625,-0.005086446449439896
2010-03-20,217.353,0.16,9.9,90.1356,80.58,1159.9000244140625,-0.005086446449439896
2010-03-21,217.353,0.16,9.9,90.1356,80.58,1159.9000244140625,-0.005086446449439896
2010-03-22,217.353,0.16,9.9,90.1356,81.26,1165.81005859375,0.005095296193887933
2010-03-23,217.353,0.16,9.9,90.1356,81.68,1174.1700439453125,0.007170966908320198
2010-03-24,217.353,0.16,9.9,90.1356,80.29,1167.719970703125,-0.005493304207041971
2010-03-25,217.353,0.16,9.9,90.1356,80.25,1165.72998046875,-0.001704167338318907
2010-03-26,217.353,0.16,9.9,90.1356,79.75,1166.5899658203125,0.000737722599547963
2010-03-27,217.353,0.16,9.9,90.1356,79.75,1166.5899658203125,0.000737722599547963
2010-03-28,217.353,0.16,9.9,90.1356,79.75,1166.5899658203125,0.000737722599547963
2010-03-29,217.353,0.16,9.9,90.1356,81.92,1173.219970703125,0.005683234964352302
2010-03-30,217.353,0.16,9.9,90.1356,82.14,1173.27001953125,4.265937281555665e-05
2010-03-31,217.353,0.16,9.9,90.1356,83.45,1169.4300537109375,-0.00327287474868454
2010-04-01,217.403,0.2,9.9,90.4607,84.53,1178.0999755859375,0.0074138011482498545
2010-04-02,217.403,0.2,9.9,90.4607,84.53,1178.0999755859375,0.0074138011482498545
2010-04-03,217.403,0.2,9.9,90.4607,84.53,1178.0999755859375,0.0074138011482498545
2010-04-04,217.403,0.2,9.9,90.4607,84.53,1178.0999755859375,0.0074138011482498545
2010-04-05,217.403,0.2,9.9,90.4607,86.36,1187.43994140625,0.00792799084446738
2010-04-06,217.403,0.2,9.9,90.4607,86.54,1189.43994140625,0.0016842957106795176
2010-04-07,217.403,0.2,9.9,90.4607,85.64,1182.449951171875,-0.005876707172041695
2010-04-08,217.403,0.2,9.9,90.4607,85.17,1186.43994140625,0.003374341747336196
2010-04-09,217.403,0.2,9.9,90.4607,84.6,1194.3699951171875,0.00668390656297202
2010-04-10,217.403,0.2,9.9,90.4607,84.6,1194.3699951171875,0.00668390656297202
2010-04-11,217.403,0.2,9.9,90.4607,84.6,1194.3699951171875,0.00668390656297202
2010-04-12,217.403,0.2,9.9,90.4607,84.07,1196.47998046875,0.0017666094762833762
2010-04-13,217.403,0.2,9.9,90.4607,83.8,1197.300048828125,0.0006854008197059169
2010-04-14,217.403,0.2,9.9,90.4607,85.62,1210.6500244140625,0.011150066851666862
2010-04-15,217.403,0.2,9.9,90.4607,85.25,1211.6700439453125,0.0008425387276917995
2010-04-16,217.403,0.2,9.9,90.4607,82.97,1192.1300048828125,-0.016126534744455467
