feature,importance
price_to_sma20,0.15767279672800477
return_5d,0.11327859236816745
volatility_5d,0.11257004552801994
return_1d,0.10065413157600857
sp500_return,0.09638396322069301
price_to_sma5,0.07451609407901856
gap,0.05904083403748842
volatility_20d,0.05044604520553383
volume_ratio,0.039685853395771305
oil_price,0.03194018441333423
sentiment_3d_avg,0.024676017979016602
volume_change,0.021358253562669793
sentiment_5d_avg,0.019100847562670203
sma_20,0.015520393024264117
Scaled_sentiment,0.015076051308887685
industrial_output,0.013374887915658207
Sentiment_gpt,0.012183119000576961
sma_5,0.011834617647830711
unemployment_rate,0.009024189646193788
fed_rate,0.00702585027150448
News_flag,0.006783162517826804
cpi,0.004805124905971074
unemployment_change,0.0020417760386091787
fed_rate_change,0.0010071680662803722
