PERMNO,date,PERMCO,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
22111,2010-01-04,21018,64.68000,9506200,0.004192,2759100,1,1
22111,2010-01-05,21018,63.93000,10673400,-0.011596,2759100,1,1
22111,2010-01-06,21018,64.45000,13171500,0.008134,2759100,1,1
22111,2010-01-07,21018,63.99000,10901600,-0.007137,2759100,1,1
22111,2010-01-08,21018,64.21000,7898500,0.003438,2759100,1,1
22111,2010-01-11,21018,64.22000,7976300,0.000156,2759100,1,1
22111,2010-01-12,21018,64.56000,10820600,0.005294,2759100,1,1
22111,2010-01-13,21018,64.97000,13023700,0.006351,2759100,1,1
22111,2010-01-14,21018,65.10000,7898900,0.002001,2759100,1,1
22111,2010-01-15,21018,64.56000,20995400,-0.008295,2759100,1,1
22111,2010-01-19,21018,65.35000,15181900,0.012237,2759100,1,1
22111,2010-01-20,21018,65.15000,13033000,-0.003060,2759100,1,1
22111,2010-01-21,21018,63.97000,14476300,-0.018112,2759100,1,1
22111,2010-01-22,21018,63.20000,14017300,-0.012037,2759100,1,1
22111,2010-01-25,21018,63.22000,10002600,0.000316,2759100,1,1
22111,2010-01-26,21018,62.79000,15630200,-0.006802,2759100,1,1
22111,2010-01-27,21018,63.44000,14982400,0.010352,2759100,1,1
22111,2010-01-28,21018,63.80000,17102100,0.005675,2759100,1,1
22111,2010-01-29,21018,62.86000,17846700,-0.014734,2759100,1,1
22111,2010-02-01,21018,63.09000,10153400,0.003659,2759100,1,1
22111,2010-02-02,21018,63.99000,13609700,0.014265,2759100,1,1
22111,2010-02-03,21018,63.63000,9256300,-0.005626,2759100,1,1
22111,2010-02-04,21018,62.64000,18396900,-0.015559,2759100,1,1
22111,2010-02-05,21018,62.64000,16775100,0.000000,2759100,1,1
22111,2010-02-08,21018,62.37000,10081700,-0.004310,2759100,1,1
22111,2010-02-09,21018,62.76000,11356300,0.006253,2759100,1,1
22111,2010-02-10,21018,62.73000,10115800,-0.000478,2759100,1,1
22111,2010-02-11,21018,62.91000,8353600,0.002869,2759100,1,1
22111,2010-02-12,21018,62.72000,12335800,-0.003020,2759100,1,1
22111,2010-02-16,21018,63.61000,10212300,0.014190,2759100,1,1
22111,2010-02-17,21018,63.98000,9485400,0.005817,2759100,1,1
22111,2010-02-18,21018,64.53000,8260500,0.008596,2759100,1,1
22111,2010-02-19,21018,63.81000,14222200,-0.003564,2759100,1,1
22111,2010-02-22,21018,63.49000,9839700,-0.005015,2759100,1,1
22111,2010-02-23,21018,63.31000,12481400,-0.002835,2759100,1,1
22111,2010-02-24,21018,63.45000,8519300,0.002211,2759100,1,1
22111,2010-02-25,21018,63.28000,10528800,-0.002679,2759100,1,1
22111,2010-02-26,21018,63.00000,9357700,-0.004425,2759100,1,1
22111,2010-03-01,21018,63.39000,9219400,0.006190,2759100,1,1
22111,2010-03-02,21018,63.44000,9013900,0.000789,2759100,1,1
22111,2010-03-03,21018,63.40000,9360400,-0.000630,2759100,1,1
22111,2010-03-04,21018,63.57000,8067700,0.002681,2759100,1,1
22111,2010-03-05,21018,64.04000,10634100,0.007393,2759100,1,1
22111,2010-03-08,21018,64.20000,33380500,0.002498,2759100,1,1
22111,2010-03-09,21018,64.27000,8827200,0.001090,2759100,1,1
22111,2010-03-10,21018,64.29000,8436600,0.000311,2759100,1,1
22111,2010-03-11,21018,64.22000,9958700,-0.001089,2759100,1,1
