PERMNO,date,PERMCO,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
86755,2013-01-02,35013,67.20000,70646791,0.031781,479550,1,1
86755,2013-01-03,35013,66.85210,47401326,-0.005177,488750,1,1
86755,2013-01-04,35013,66.63000,33986484,-0.003322,497700,1,1
86755,2013-01-07,35013,66.65040,25768729,0.000306,501000,1,1
86755,2013-01-08,35013,66.52000,28738164,-0.001957,497350,1,1
86755,2013-01-09,35013,66.77000,25586102,0.003758,498200,1,1
86755,2013-01-10,35013,67.17000,37540812,0.005991,496000,1,1
86755,2013-01-11,35013,67.26000,21154136,0.001340,493000,1,1
86755,2013-01-14,35013,66.96000,36658252,-0.004460,493500,1,1
86755,2013-01-15,35013,66.63000,31624940,-0.004928,489750,1,1
86755,2013-01-16,35013,66.90000,33797563,0.004052,488950,1,1
86755,2013-01-17,35013,67.22000,31985951,0.004783,490350,1,1
86755,2013-01-18,35013,67.07000,31944604,-0.002232,492300,1,1
86755,2013-01-22,35013,67.18000,32086941,0.001640,476900,1,1
86755,2013-01-23,35013,67.59000,31904095,0.006103,489050,1,1
86755,2013-01-24,35013,66.66000,42503244,-0.013759,485800,1,1
86755,2013-01-25,35013,67.00000,39083383,0.005100,489450,1,1
86755,2013-01-28,35013,67.15000,32845957,0.002239,490250,1,1
86755,2013-01-29,35013,67.16000,35273101,0.000149,488400,1,1
86755,2013-01-30,35013,67.02000,34363905,-0.002085,493150,1,1
86755,2013-01-31,35013,66.87000,34754858,-0.002238,490600,1,1
86755,2013-02-01,35013,67.66000,52989227,0.011814,491100,1,1
86755,2013-02-04,35013,66.48000,48392808,-0.017440,485050,1,1
86755,2013-02-05,35013,67.46000,34991207,0.014741,482850,1,1
86755,2013-02-06,35013,67.24000,43554476,-0.003261,483300,1,1
86755,2013-02-07,35013,67.30000,46024264,0.000892,474400,1,1
86755,2013-02-08,35013,67.99000,40051162,0.010253,465000,1,1
86755,2013-02-11,35013,68.01000,17646585,0.000294,471850,1,1
86755,2013-02-12,35013,67.73000,21984386,-0.004117,468950,1,1
86755,2013-02-13,35013,67.97000,23406308,0.003543,469400,1,1
86755,2013-02-14,35013,67.95000,24396497,-0.000294,466400,1,1
86755,2013-02-15,35013,67.75000,25309452,-0.002943,468900,1,1
86755,2013-02-19,35013,68.24000,23427366,0.007232,463700,1,1
86755,2013-02-20,35013,67.19000,38187204,-0.015387,467200,1,1
86755,2013-02-21,35013,66.47000,45837500,-0.010716,465350,1,1
86755,2013-02-22,35013,67.13900,21950878,0.010065,464050,1,1
86755,2013-02-25,35013,66.31000,40865445,-0.012348,464050,1,1
86755,2013-02-26,35013,66.56000,42055431,0.003770,463050,1,1
86755,2013-02-27,35013,67.23900,36242594,0.010201,459500,1,1
86755,2013-02-28,35013,67.10000,28502744,-0.002067,460100,1,1
86755,2013-03-01,35013,67.38000,31546075,0.004173,453300,1,1
86755,2013-03-04,35013,67.68000,19220399,0.004452,456000,1,1
86755,2013-03-05,35013,68.68000,35413101,0.014775,457100,1,1
86755,2013-03-06,35013,68.51000,28989579,-0.002475,460900,1,1
86755,2013-03-07,35013,68.69000,21710860,0.002627,465300,1,1
86755,2013-03-08,35013,68.77000,26103979,0.001165,466650,1,1
86755,2013-03-11,35013,68.97000,23157712,0.002908,465200,1,1
86755,2013-03-12,35013,68.72000,27518357,-0.003625,464800,1,1
86755,2013-03-13,35013,68.63000,34226937,-0.001310,461900,1,1
86755,2013-03-14,35013,68.86000,31394981,0.003351,464000,1,1
86755,2013-03-15,35013,68.51000,30645168,-0.002769,460550,1,1
86755,2013-03-18,35013,68.36000,36172627,-0.002189,469400,1,1
86755,2013-03-19,35013,68.23000,32947594,-0.001902,474700,1,1
86755,2013-03-20,35013,68.70900,27834434,0.007020,469000,1,1
86755,2013-03-21,35013,67.93000,29952099,-0.011338,464900,1,1
86755,2013-03-22,35013,68.59000,28808526,0.009716,465400,1,1
86755,2013-03-25,35013,68.34000,24840028,-0.003645,464750,1,1
86755,2013-03-26,35013,68.71000,19676234,0.005414,463250,1,1
86755,2013-03-27,35013,68.80100,22511618,0.001324,464050,1,1
86755,2013-03-28,35013,68.97000,23617136,0.002456,461800,1,1
86755,2013-04-01,35013,68.50000,28417251,-0.006815,462500,1,1
86755,2013-04-02,35013,69.04000,29336624,0.007883,462500,1,1
86755,2013-04-03,35013,68.41000,35028530,-0.009125,461400,1,1
86755,2013-04-04,35013,68.43000,32209608,0.000292,461900,1,1
86755,2013-04-05,35013,67.86100,55460581,-0.008315,455400,1,1
86755,2013-04-08,35013,68.22000,17859273,0.005290,453850,1,1
86755,2013-04-09,35013,68.68000,30812562,0.006743,453050,1,1
86755,2013-04-10,35013,70.01500,55089395,0.019438,450750,1,1
