PERMNO,NAMEDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,BEGEXCHDATE,ENDEXCHDATE
10001,2010-07-09,11,2,4925,36720410,EGAS,GAS NATURAL INC,1986-01-09,2017-08-03
10002,2002-05-15,11,3,6020,05978R10,BTFG,BANCTRUST FINANCIAL GROUP INC,1986-01-10,2013-02-15
10025,2009-01-30,11,3,3081,00103110,AEPI,A E P INDUSTRIES INC,1986-01-30,2017-01-20
10026,2000-08-01,11,3,2052,46603210,JJSF,J & J SNACK FOODS CORP,1986-02-04,2023-12-29
10028,2019-12-18,11,2,5094,29402E10,ELA,ENVELA CORP,1986-02-05,2023-12-29
10032,1986-02-05,11,3,3670,72913210,PLXS,PLEXUS CORP,1986-02-05,2023-12-29
10044,2015-03-02,11,3,2060,77467X10,RMCF,ROCKY MOUNTAIN CHOC FAC INC NEW,1986-02-11,2023-12-29
10051,2020-02-14,11,1,4813,41043F20,HNGR,HANGER INC,1986-02-14,2022-10-03
10065,2019-08-09,14,1,6722,00621210,ADX,ADAMS EXPRESS CO,1925-12-31,2023-12-29
10066,2021-03-29,11,3,7373,35518410,FKWL,FRANKLIN WIRELESS CORP,1983-08-25,2023-12-29
10078,2007-11-12,11,3,3571,86681020,JAVA,SUN MICROSYSTEMS INC,1986-03-04,2010-01-26
10092,2006-06-30,11,1,7922,35086510,KDE,4 KIDS ENTERTAINMENT INC,1986-03-07,2010-05-28
10100,2010-03-23,11,3,8300,02713510,ALRN,AMERICAN LEARNING CORP NY,1986-03-11,2013-03-22
10104,2013-07-15,11,1,7372,68389X10,ORCL,ORACLE CORP,1986-03-12,2023-12-29
10107,1986-03-13,11,3,7370,59491810,MSFT,MICROSOFT CORP,1986-03-13,2023-12-29
10113,2021-06-03,73,3,6726,00768Y20,AADR,ADVISORSHARES TRUST,2010-07-21,2023-12-29
10116,2015-08-28,11,3,2834,00509L80,ACUR,ACURA PHARMACEUTICALS INC,1986-03-14,2017-02-22
10137,1997-10-01,11,1,4911,01736110,AYE,ALLEGHENY ENERGY INC,1925-12-31,2011-02-25
10138,2000-12-29,11,3,6211,74144T10,TROW,T ROWE PRICE GROUP INC,1986-04-02,2023-12-29
10143,1997-10-01,11,3,2830,67104010,OSIP,O S I PHARMACEUTICALS INC,1986-04-03,2010-06-08
10145,2021-05-11,11,3,3724,43851610,HON,HONEYWELL INTERNATIONAL INC,1925-12-31,2023-12-29
10147,1998-10-01,11,1,3572,26864810,EMC,E M C CORP MA,1986-04-04,2016-09-06
10151,2011-12-01,73,4,6726,00768Y40,AGLS,ADVISORSHARES TRUST,2010-07-09,2015-08-07
10158,2022-11-09,11,1,1731,02361E10,AMRC,AMERESCO INC,2010-07-22,2023-12-29
10163,1986-04-10,11,3,3860,98385710,XRIT,X RITE INC,1986-04-10,2012-05-14
10180,2007-02-07,11,3,2834,00972810,AKRX,AKORN INC,1988-04-08,2020-05-29
10182,1999-07-01,11,3,5040,87823710,TECD,TECH DATA CORP,1986-04-23,2020-06-29
10200,1989-09-01,11,3,2830,75991610,RGEN,REPLIGEN CORP,1986-04-29,2023-12-29
10201,2021-03-29,12,1,4911,04878Q86,AT,ATLANTIC POWER CORP,2010-07-23,2021-05-14
10205,2001-07-02,11,3,6035,50215P10,LSBX,L S B CORP,1986-05-02,2010-11-30
10207,2015-03-09,14,3,6726,85208J10,FUND,SPROTT FOCUS TRUST INC,1988-06-07,2023-12-29
10220,2015-07-01,11,1,3443,05605H10,BWXT,B W X TECHNOLOGIES INC,2010-08-02,2023-12-29
10223,2010-07-21,31,1,7371,13322V10,CIS,CAMELOT INFORMATION SYSTEMS INC,2010-07-21,2014-03-27
10225,2014-01-08,11,1,3433,07373010,BEAM,BEAM INC,1925-12-31,2014-04-30
10232,2012-06-05,11,3,6035,28966010,ESBK,ELMIRA SAVINGS BANK NY,1986-05-08,2022-05-13
10239,2018-08-01,11,3,6331,74368L20,PTVCB,PROTECTIVE INSURANCE CORP,1986-05-09,2021-05-28
10252,1999-07-01,11,3,6020,45383610,INDB,INDEPENDENT BANK CORP MA,1986-05-14,2023-12-29
10253,2021-10-01,11,2,7373,26253C10,DSS,D S S INC,1986-05-14,2023-12-29
10257,2012-06-27,11,3,7363,23335Q10,DLHC,D L H HOLDINGS CORP,1986-05-15,2023-12-29
10258,2019-02-11,11,3,2835,15117B20,CLDX,CELLDEX THERAPEUTICS INC,1986-05-15,2023-12-29
10259,1986-05-15,11,3,3570,82656510,SIGM,SIGMA DESIGNS INC,1986-05-15,2018-08-24
10272,2006-07-14,11,3,3661,87910110,TKLC,TEKELEC,1986-05-16,2012-01-27
10290,1986-05-23,11,3,6330,41282410,HGIC,HARLEYSVILLE GROUP INC,1986-05-23,2012-04-30
10294,2021-02-16,11,1,5722,41959620,HVT,HAVERTY FURNITURE COS INC,1986-05-27,2023-12-29
10297,2015-06-01,11,3,6035,51086610,LSBG,LAKE SUNAPEE BANK GROUP,1986-05-27,2017-01-13
10299,1986-05-28,11,3,3670,53567810,LLTC,LINEAR TECHNOLOGY CORP,1986-05-28,2017-03-10
10302,2009-11-12,11,3,3674,23280610,CY,CYPRESS SEMICONDUCTOR CORP,1986-05-29,2020-04-15
10304,1999-07-01,11,3,6020,02391210,AMFI,AMCORE FINANCIAL INC,1986-05-29,2010-04-23
10308,2011-06-13,11,2,6022,89011010,TMP,TOMPKINS FINANCIAL CORP,1986-06-02,2023-12-29
10318,2006-12-22,11,3,2800,05766520,BCPC,BALCHEM CORP,1986-06-03,2023-12-29
10324,1986-06-05,11,3,2836,37291710,GENZ,GENZYME CORP,1986-06-05,2011-04-08
10333,2016-10-18,11,3,2834,98419J20,XOMA,XOMA CORP,1986-06-06,2023-12-29
10353,2015-07-07,11,3,3570,85812220,SXCL,STEEL EXCEL INC,1986-06-11,2016-03-31
10355,1987-04-08,11,3,2710,23391210,DJCO,DAILY JOURNAL CORP,1986-06-11,2023-12-29
10363,2007-07-25,11,3,2834,00163U10,AMAG,A M A G PHARMACEUTICALS INC,1986-06-11,2020-11-13
10371,1995-12-13,11,3,3840,13690710,CLZR,CANDELA CORP,1986-06-16,2010-01-05
10375,2017-05-08,11,1,6021,87227510,TCF,T C F FINANCIAL CORP,1986-06-17,2019-07-31
10382,1986-06-18,11,3,3510,04622410,ASTE,ASTEC INDUSTRIES INC,1986-06-18,2023-12-29
10395,1986-06-19,11,3,6330,63890410,NAVG,NAVIGATORS GROUP INC,1986-06-19,2019-05-22
10397,1986-06-20,11,3,4210,95075510,WERN,WERNER ENTERPRISES INC,1986-06-20,2023-12-29
10404,2009-07-07,11,3,7389,76155720,DINE,REWARDS NETWORK INC,1986-06-20,2010-12-14
10421,1999-07-01,11,3,4510,83087910,SKYW,SKYWEST INC,1986-06-26,2023-12-29
10443,2014-12-05,11,3,4210,30292L10,FRPH,F R P HOLDINGS INC,1986-07-02,2023-12-29
10463,1989-09-01,11,3,3670,76091110,REFR,RESEARCH FRONTIERS INC,1986-07-08,2023-12-29
10501,1986-07-18,11,3,2430,03050610,AMWD,AMERICAN WOODMARK CORP,1986-07-18,2023-12-29
10507,1999-07-01,11,3,3840,58449L10,MDCI,MEDICAL ACTION INDUSTRIES INC,1986-07-22,2014-09-30
10514,2020-09-08,11,3,5735,48583710,KSPN,KASPIEN HOLDINGS INC,1986-07-24,2023-06-09
10516,2012-10-31,11,1,2046,03948310,ADM,ARCHER DANIELS MIDLAND CO,1925-12-31,2023-12-29
10517,2020-12-01,11,1,7359,74319R10,PRG,PROG HOLDINGS INC,1982-11-04,2023-12-29
10530,2001-01-25,11,3,2835,58958410,VIVO,MERIDIAN BIOSCIENCE INC,1986-07-29,2023-01-30
10547,2008-01-02,11,3,3827,18482P10,CLFD,CLEARFIELD INC,1986-08-06,2023-12-29
10550,2010-06-18,11,3,8020,74265M20,PDEX,PRO DEX INC COLO,1986-08-07,2023-12-29
10563,1999-07-01,11,3,6030,44041F10,HRZB,HORIZON FINANCIAL CORP WASH,1986-08-12,2010-01-11
10568,2006-07-17,11,3,1542,81765M10,SERV,SERVIDYNE INC,1982-06-29,2011-08-29
10597,2001-06-18,11,2,3571,35351510,FEP,FRANKLIN ELECTRONIC PUBLSHS INC,1986-08-20,2010-02-24
10606,2022-04-14,11,1,3494,94274910,WTS,WATTS WATER TECHNOLOGIES INC,1986-08-21,2023-12-29
10629,2011-06-10,11,1,6021,30252010,FNB,F N B CORP PA,1986-09-02,2023-12-29
10638,1999-07-01,11,3,6020,41285010,HNBC,HARLEYSVILLE NATIONAL CORP PA,1986-09-05,2010-04-09
10644,2011-06-13,11,1,3825,88337510,TGX,THERAGENICS CORP,1986-09-09,2013-10-29
10645,1989-09-01,11,3,3840,51179510,LAKE,LAKELAND INDUSTRIES INC,1986-09-09,2023-12-29
10649,1986-09-10,11,3,4210,69314910,PTSI,P A M TRANSPORTATION SVCS INC,1986-09-10,2023-12-29
10656,1986-04-01,11,3,5160,00444610,ACET,ACETO CORP,1972-12-14,2019-04-02
10659,1993-11-24,11,3,8070,09057G60,BRLI,BIO REFERENCE LABORATORIES INC,1986-09-12,2015-08-19
